index,task_type,prompt,ori_image,target_image
607,vttie,Add the word surf to the sky.,3ab2a02e5c6c472ba33bf87c148c2a2b.jpg,
608,vttie,Add the word 'pizza' to the bottom left of the image.,c17c64604b2b4df8a99b120bcf3838c6.jpg,
609,vttie,Add the word 'toilet' to the toilet back.,31ebb0f034aa418ca268b3295e08e935.jpg,
610,vttie,Replace the text 'Salmon' with 'Sandwich',8a328cf083624f65a56579f198a80337.jpg,
611,vttie,"Add the words ""VISIT THE ZOO"" in Time New Roman light blue.",3c649ad024df4c099b1c48c3ba0d9faf.jpg,
612,vttie,Change Los Angeles to New York.,37fb8f4b5f3c49cab2faf13b5168a9c8.jpg,
613,vttie,"Add the words ""PLAY BALL"" in comic sans to the grass.",8e1a36b6c62a40aab1f33419e2b41280.jpg,
614,vttie,"Replace the tattoo text in the image with ""此生不负你"".",91e46a32dfc94ec6af032de3755aaef6.jpg,
615,vttie,Replace the text 'SHEFFIELD' with 'EDINBURGH',01309910e64f48caaffe5b3db8b344e3.jpg,
616,vttie,"Add the phrase ""AT THE ZOO NOW!"".",7f5a1151d2fd44f1a8910db64537d5fc.jpg,
617,vttie,Add the word 'napkin' tot he square paper.,7a86a730806c446f80ccf1fd8676cfa0.jpg,
618,vttie,Add the word 'xmas' to the top right of the image.,cba6dfe0cd094e95ae414a00f3cdfecb.jpg,
619,vttie,"Add the word ""Beach"" to the lower left corner.",e1f865903834446c9208bdb06f0621dc.jpg,
620,vttie,Replace the text 'LONDON' with 'ENGLAND'.,98ba003b942a47bba0d77e77a012ff4e.jpg,
621,vttie,"Add the word ""EXIT"" over the door.",08c9ae88a99943b8bd3cc943a071d4e8.jpg,
622,vttie,Add the word CLERK on the shirt of the man that is seated.,b9c48571292f4369a60352256ac06a7c.jpg,
623,vttie,Remove all lettering from the airplane.,493f65ffafa84e1d808718a9d421b2ea.jpg,
624,vttie,"Add the four characters ""松前云鹤"" to this image in a calligraphy style.",9fedde5825a0499e9e406b5b222c8d4f.jpg,
625,vttie,Add the word 'mitt' to the mitt.,609633c179a543119a59103514808513.jpg,
626,vttie,Add the word 'chilling' to the top of the image.,0f6fe2ff41c449ae8dd6445799f1b38e.jpg,
627,vttie,Add the word 'player' to the left pants left of the player.,1d4fb1898dcf48e2910c2845eed28cb5.jpg,
628,vttie,Add 'Written by' to the right of 'NANCY DOWD',3a1dde50e4d54a4fb49cd2f8913bb6de.jpg,
629,vttie,"Remove the text and add ""我爱你""",8a295af994574f53909fd9c8890361eb.jpg,
630,vttie,Change the number on the tail of the plane to 345.,6221a01a6f23405095b7b2cc9f32a057.jpg,
631,vttie,"Add the word ""Keep closed"" to the upper left door.",0b1e218d1fb0410d86d0a0057c445c0f.jpg,
632,vttie,Replace the text 'JACQUES' with 'QUEENS'.,66a0565e81d941a888a83dd45de2530f.jpg,
633,vttie,Add the word 'floor' to the floor to the right of thebaby.,6c36e19c1d594d62a1d1413272a097df.jpg,
634,vttie,Add the word 'beach' to the sky.,24267f7ee329404fbb65753864118cfe.jpg,
635,vttie,Add the words 'hot dog' to the top right of the image.,fd007c332f08400abc05e009d6dd8d07.jpg,
636,vttie,Add the word 'bear' to the forehead of the animal.,a45e1092d04b44b7bc667ac71a1d74c2.jpg,
637,vttie,Replace the text 'WOOD' with 'LAND'.,81f770ddbbc940669dbe5b249992b666.jpg,
638,vttie,Replace the text 'me' with 'he',7cc456a0280e4f2d80c496c02087fba1.jpg,
639,vttie,Add the word 'kitchen' to the bottom of the image.,31ee925db4bd431a8486abc3640953ea.jpg,
640,vttie,"Leap, can you replace the word ""Cao"" with the word ""Ye""?",b49a63302f7b415ab665ef634d3d43fc.jpg,
641,vttie,Write Cowabunga! in green across the center of the pizza.,a89eb0549dfe4b85b7b532721fb635e2.jpg,
642,vttie,Add the word 'cupid' above the cupid.,a565186861304d089222e24b0481e21f.jpg,
643,vttie,Add the word 'mouse' to the mouse.,e03e1ba231bb4b8ca165ddf516426e9e.jpg,
644,vttie,Add 'SPRING' under the text '2025',a40773ba74da49e19e8a29611da48861.jpg,
645,vttie,Change 'stop' to 'think'.,0221210a28ef4cff8faa40cee4eef930.jpg,
646,vttie,"Add the phrase ""I bring to you, master"".",ca4a85123cd541969468d1dcaf7e8642.jpg,
647,vttie,Change the text 'ESTATE TACHEN' to 'Timeless Fashion',b3ab7298922546c5828543f0db50546d.jpg,
648,vttie,Add the word 'ski' in white to the sky.,d764587ad3664814b0396697f3d30c6a.jpg,
649,vttie,Remove the numbers from the front of the train,1074daf922524c84b7fd59c01c7f82e2.jpg,
650,vttie,Add the word 'sky' to the sky to the right of the pole.,dec09e864d0f43d9918d167f62754563.jpg,
651,vttie,Add the word 'zebras' to the right of the zebras.,dc077555f3404640a3e7cab321f7d67e.jpg,
652,vttie,Add the word 'cute' to the white shirt on the girl.,6b249998fa1345fd869cbe03bc825a8e.jpg,
653,vttie,Replace the text 'IELTS' with 'TOFEL'.,3f21c5de3e5146a58cd1cde66ded6033.jpg,
654,vttie,Add the word 'cup' to the left cup.,1c9709b96fea4dc5ae77f9ec52d385b5.jpg,
655,vttie,Add the word 'antique' to the sky.,46665b852a0746a38248f85f7032cc18.jpg,
656,vttie,Add the word 'horse' in white to the side of the horse.,7fa2dc2576734c3b97a7a31fa3d9bdc1.jpg,
657,vttie,Replace the text 'LONDON' with 'ENGLAND',b9b6f365b4854fc3bf8ac63fa3b5da42.jpg,
658,vttie,"Add ""GAMES"" in the center of the picture.",9fe4f868a37642bdbc46ac81ad93e96a.jpg,
659,vttie,Add the word pay here,a960acf517a74b14a1c495addc854c5b.jpg,
660,vttie,"Add the phrase ""IRON CHEF"" on the wall.",38e8bffc864e4b14ad3c9a77443b958a.jpg,
661,vttie,"Help me change ""行动"" to ""出击""",093a7103a5414c16b0f4436a7680181b.jpg,
662,vttie,"Add the word ""CALMING"" to the ceiling.",070863a10cbb47faab76725f4a0c56f3.jpg,
663,vttie,"Remove ""Secret Marmalade Fish""",6ea403ccc0d54f84b2ccb1ada9c3b029.jpg,
664,vttie,Add the words 'blue skies' to the skies.,dea86f5d19e04f48ac5cec631454977e.jpg,
665,vttie,"Add the phrase ""DOGS AT PLAY"".",94fb1c6bb53b43aab41175e46e66abf9.jpg,
666,vttie,"Add the word ""DROUGHT"" in bold letters.",c7dda04322554b19b52060b605acd036.jpg,
667,vttie,"Add the word ""CATCH"" on the lower right corner in small letters.",6a07443c88534390844f4906a2333147.jpg,
668,vttie,Replace the text 'NIPS' with 'CVPR',2578ccf7aa5a47eca5ff2a6ee3cfd630.jpg,
669,vttie,Add the word 'kawasaki' to the red panel on the bike.,c442f197e5c543088b3bb2a8da638082.jpg,
670,vttie,Remove the following words and numbers,6f673877ba9947ed918c8dc3a5caf176.jpg,
671,vttie,Add the word 'love' to the bottommost posit note on the wall.,0c661b0ea1a44cfab16f03b71a0052f7.jpg,
672,vttie,"Add the letters ""BBC"" on the white building over the top windows.",3c191f79ef564189ad3fc56b5386f172.jpg,
673,vttie,Add the word 'food' below the bottommost broccoli.,e6d4621999a54af290b97b2313a19cfc.jpg,
674,vttie,Turn the word salon into police station,01a1f2199448458e8511b6e0611d97bd.jpg,
675,vttie,Replace the text 'hotwind' with 'cool breeze',b56fd965d5384f47a0da7b8a235bddfb.jpg,
676,vttie,Replace the word Angels on the jersey of the batter with the word Devils.,0fb9b7da511b4d63a4e0f586ccc8a8d6.jpg,
677,vttie,Add the word 'grass' to the grass to the left of the girl.,3b12b4dd318d443da74f0b6c46fe0a50.jpg,
678,vttie,"Change the name from ""Journey to the West"" to ""Journey to Myth"".",da863169e6c24e8981fe9e5be63ca548.jpg,
679,vttie,Change the word stop to say go instead.,fa5ebb4cfb604809934c85202abb1168.jpg,
680,vttie,"Add below the mirror the words ""Life is Better with You"".",b02a2c8f5f19473aa2e92c45d25e9a6a.jpg,
681,vttie,Replace the text 'DARK' with 'DUCK',5cdf293b768e46b0b4c95fbcc688dec2.jpg,
682,vttie,Add the word 'luggage' to the luggage that's the highest in the image.,2ffaf5507b79468a95b3aeeda001c14a.jpg,
683,vttie,Add the word 'sky' to the sky above the right person.,bfc1b6a4118d4350bc8841a2d4c360c2.jpg,
684,vttie,"Add the word ""FLUSH"" to the toilet seat.",7d855c06e40b43488a2145dc1ab19d37.jpg,
685,vttie,Change text 'SNP' to 'Call me',a427f3b11a9e4dfb8c543c85bf3ddb53.jpg,
686,vttie,"Add ""GO SKATE"" in bold letters.",214b9b7296ea40f695d11e24717156b2.jpg,
687,vttie,Add the word 'board' to the board.,1a3ce1a541f74c34b05bb7023c7bebef.jpg,
688,vttie,"Add the word ""BELIEVE"" to the wall behind the man.",40bfa341dcb64283a3fe76de4820a6b5.jpg,
689,vttie,Add the word 'sandwich' in gold across the top of the image.,9c25afb478a142b080793989f7bc0f62.jpg,
690,vttie,"Remove the wording ""iGoogle"" from the photo.",053a7b8524c94dd2a666a2bc763fc403.jpg,
691,vttie,Add the word 'fish' to the slanted wall.,7b505032da4a450f84ff34adb786b381.jpg,
692,vttie,Change the sign to say Pride.,2682417552a5488d832d71903446d4ec.jpg,
693,vttie,Add the word 'turtle' in white to the left of the turtle onto the awning.,26af3e0f54bf47499eb720f2acbf3e92.jpg,
694,vttie,"Add the phrase ""SANFORD AND SON"" the side of the hood.",4075487a900b410b95996639f4c769d0.jpg,
695,vttie,"Add ""supersized"" before ""explored"".",93c26253de1f404784c2bd367177a5c9.jpg,
696,vttie,Add the word 'hat' to the hard hat.,a812259003c340c4b9f4a78045399fba.jpg,
697,vttie,Replace the text 'chicken' with 'beef'.,15b7a49599af48a39c0eba8dfd515567.jpg,
698,vttie,"Add the word ""SPORT"" to the white shirt on the man.",d85aeba52ad345129255cdaeafe013d5.jpg,
699,vttie,Add the word 'thinking' to the forehead of the woman.,168a66f09ecc40b6a05d76f2d9318ebf.jpg,
700,vttie,Add the word 'bridge' across the side of the bridge.,fc703ebf018b48d3aad707f3307cbe9e.jpg,
701,vttie,"Add the phrase"" GO TEAM"" to the wall over the mirror.",3b2910c8edff4900a4a196de6f03e5c6.jpg,
702,vttie,"Add the three characters ""苍穹决"" to this image.",12568ad69a7541b6abe59a31d33facbd.jpg,
703,vttie,Replace the word 'dell' with 'apple'.,f1580a6be8c945eeaa9ce7b1a96f1e93.jpg,
704,vttie,Add the word 'umbrella' to the pink pane of the left umbrela.,7495cf6efe2a4634883045f505613707.jpg,
705,vttie,Replace the text 'SPA' with 'Relaxation Oasis',3d17db29236843aa9489e07d98e605dd.jpg,
706,vttie,Replace the text 'lululemon' with 'lelolelol',fc84f55e1fe04eaabe46e0005ab81dbb.jpg,
707,vttie,Add the word 'ball' to the white baseball.,0396413dd5cd40dfadeeea478fe6c01e.jpg,
708,vttie,"Describe this photo and replace the text with ""人生靠自己，三分天注定七分靠打拼"" in two lines.",9a6ac44a50204ca3ad28aacfc5351e2b.jpg,
709,vttie,Add the alphabet to the wall over the blackboard.,0961bf63bf80413ebac1686b1231ffc9.jpg,
710,vttie,Replace the text 'SPA' with 'Relaxation Oasis',d236ac9501384302bc7344c9c6e6d076.jpg,
711,vttie,"Replace ""LULU"" on the truck with ""HULU""",c575a9e17416445489523cd44c807de1.jpg,
712,vttie,Add the word 'microwave' across the top of the door of the microwave.,e735c85a16ff447bb726a809910b4c5d.jpg,
713,vttie,"Add the word ""HORSE"" to the sky.",ef7720d5ed5b4daea4517599d04d4a5d.jpg,
714,vttie,Change 'crew' to 'gang'.,83dd29510fbb4dd29c182f82f597f5c9.jpg,
715,vttie,"Remove the text ""戚风蛋糕"" and rewrite as ""鸡蛋蛋糕""",5e4a46d6852f40dfbec1eaa073c6d2a8.jpg,
716,vttie,Can you remove the white text from this image?,359e78f736384fd88011b29c976771f0.jpg,
717,vttie,Replace the text 'FERMENT' with 'delicious treats',3fac9fe29110419f80f440a707e9f0d0.jpg,
718,vttie,Replace the text 'NIPS' with 'CVPR',e16173b355c34b8cb8b58a31b53a0b9b.jpg,
719,vttie,Add the word 'serene' to thesky.,fa8c3e3dcfbc4d10b967dd2de2295160.jpg,
720,vttie,Add the word 'green' in white to the green tip of the marker with a grey base.,be42eecf29c04fe298a532f6d2df369d.jpg,
721,vttie,"I want to change the letters on this piece of clothing to ""DIOR"".",35f7d723202e4af58321cad0425aafc9.jpg,
722,vttie,Add the word 'christmas' to the bottom of t he image.,812b5df7795b4a21878c1d9bd22790fa.jpg,
723,vttie,"Based on this image, change the hidden ""New York"" text to ""ALEX"".",f1431a98328e47ae9f6e044b35cd29b0.jpg,
724,vttie,Add the word DANCING on top of the umbrella.,04748220ea94454dbc2e97f8842652be.jpg,
725,vttie,Add the word 'giraffe' in green so it kind of blends in with the trees to the right of the giraffe.,6d462a60e1f343958510b01fae3a7e54.jpg,
726,vttie,Change 'castle' to 'fortress'.,b6178208866644db865180618ef2490e.jpg,
727,vttie,Add the word 'office' to the bottom of the image.,664b381473de4512ace704b1a6ebb1bd.jpg,
728,vttie,"Little Yue, can you replace the character ""曹"" with ""叶"" inside?",e62652bea0264fbea0741d98c52699e8.jpg,
729,vttie,Add the word 'truck' to the side of the white truck.,a0ca0a166ab742f2b07400b5dff6aec5.jpg,
730,vttie,"Add the phrase ""HAVE A SEAT"" in big bold letters.",6c31167ef89146cf94110f52e177e0d0.jpg,
731,vttie,"Add the word ""Moo"" to the milk bottle.",d405f7154d07437c92b655d7d04fd69b.jpg,
732,vttie,"Add the phrase ""Grazing Moo"" to the grass.",d1f19f1217c44db38c691690718d4e57.jpg,
733,vttie,Change the number on the sign from 730 to 830.,1eb11275b4be4482b750b09ec93332fd.jpg,
734,vttie,"Add the phrase ""picture this!""",f1afd8b79b384b40b9e9113a1fb31331.jpg,
735,vttie,Add the word club to this picture,46feaff53a09411dac8dbadf5fb66231.jpg,
736,vttie,Add the word 'walking' to the mountains in the back.,cc86067b4c51488d908c684886f53872.jpg,
737,vttie,Get rid of the words on the side of the plane.,5888f0e6dcbe4bb0b1c2562e4d99de7d.jpg,
738,vttie,"Write ""80 centimeters higher"" on the horizontal line.",496791a58c53415b982c16f16fbf3b8f.jpg,
739,vttie,Replace the text 'me' with 'he'.,5c4a25e04521429a9d6fbb7151733992.jpg,
740,vttie,Add the word 'pub' in brown to the top right of the arch.,eebbd291853542ddb50f3f7132edace8.jpg,
741,vttie,Add the word 'miniature' to the top of the image.,f5a7aa927e7e41eeacfb7b75c09956a1.jpg,
742,vttie,Change 'donuts' to 'food'.,db85a9740fc246dcb324a934d717e2e3.jpg,
743,vttie,Remove the 1983 sign behind the fire hydrant.,93e8d4cd18f84506ad7f02b70050400b.jpg,
744,vttie,"Add the phrase ""CAW CAW CAW!"" on the upper center.",408c99769d3141f6806e464ab771d31c.jpg,
745,vttie,"Add ""MMM GOOD"" to the lower right in bold letters.",a88a64b6bfc947ed985f838632d19b86.jpg,
746,vttie,Add the word 'warning' in white to the code on the screen but to the right.,1b831052db67496aa2dd23082ea814f9.jpg,
747,vttie,"Add the word ""BAAAA"".",8954bf0b0e89480a860fb3ae33e5e9ef.jpg,
748,vttie,Add the word 'bag' to the bottom of the backpack in white.,4c1f9a488f8f4a3382f5fafbbd991b59.jpg,
749,vttie,Add the word 'tv' in white to above the tv.,696ea59f5efa41eeb63dbc60b80feb8f.jpg,
750,vttie,Add the word 'sky' to the sky above the people.,fdb31e7c25cd4170b55be7c6f805f79d.jpg,
751,deepfake,,5788930d961445368f7e0fcc84f5d8d2.jpg,55dd66b2ce454de59fc304e454d8db6c.jpg
752,deepfake,,4a0a576626984d2e84a4c9d8cc46fb05.jpg,3e7cb21ab5e24c888e1fd915e91928dc.jpg
753,deepfake,,3150b5b09813428a835b71d21b357a5e.jpg,d5caa8d33381478aa5dc278b91c706e6.jpg
754,deepfake,,8b188e7fe5574a629f6f6c1381a17e19.jpg,2973e439a64345019d0173857b1c01d8.jpg
755,deepfake,,70c6f7da78734cc981ca6dc9b432b437.jpg,b3314cb054e74433965eb0c1e649433f.jpg
756,deepfake,,fd2b07892d614715a8fea8d027952f4d.jpg,1b7ba2f49820459eb965594510b8cf43.jpg
757,deepfake,,9f6ca86c4a3441e7b797817e414ce2ac.jpg,74737ac4248442269eafcd3338bb283e.jpg
758,deepfake,,c65bfdf5e6874fd287d7d2d57c91dcc2.jpg,46b9b2c03cfd4f4284a97ffa309efb20.jpg
759,deepfake,,acdc27744cc44d12982133d265f818d9.jpg,51f580ade55b45b092ab017111fb3969.jpg
760,deepfake,,2475988fde85453185a038ef45a0456c.jpg,c1db6a3e31a34fbb94fde153e912b4bc.jpg
761,deepfake,,2a7623f4665b4f6e90086fdfe736abe0.jpg,d5691734523d499398d8f32fa5c918f7.jpg
762,deepfake,,da21d2dfab7b4a34aac444ef8227ea86.jpg,79041f81ca424ff9b040750b72d34b15.jpg
763,deepfake,,746ef4bf4bae47a78d623b0f901c0448.jpg,bcf2e3ff84764a2cab67f39dcba77606.jpg
764,deepfake,,d2228f0cd83844beac4eb44e80d255ad.jpg,8825fb7afff446aab7f3d79f287eef1a.jpg
765,deepfake,,64c91bbde4234e79b8bda9633753a1f9.jpg,14756584b606467ab7e661f229849c44.jpg
766,deepfake,,368405f3186647ca92cb40fe746f3d91.jpg,f1a5750634b44c93941e2eac6cf3e64a.jpg
767,deepfake,,67c2adcd68a140b097516b63f0a2abf2.jpg,8b381412bf0a4aa08b3db7ff8fcd9639.jpg
768,deepfake,,df221691e10048ea85ef2ec432abd6d7.jpg,6223161857ab47bd8115034b677aa860.jpg
769,deepfake,,bbbfd8a75364440da15b4f1351743fab.jpg,486b50c0907f4406a0f1aa89dc579640.jpg
770,deepfake,,8a5215f8d7ba4a1fb798f51b809fc27c.jpg,3f6f6f728d864581a67c5f06068bfb83.jpg
771,deepfake,,523ba0e7dec94a03a561a35508a4b32c.jpg,ce72bdab59074f1bb2ecff94a89b968a.jpg
772,deepfake,,2a68ea2214144560a371ef37a5c83ce0.jpg,2f41764dc5494fabbd195011ce567a89.jpg
773,deepfake,,a0a386f0855243fcb2220f95d0303087.jpg,a754554526864fc582217ecde674085d.jpg
774,deepfake,,0abe2c37167448218d6d90ebe95c7d2a.jpg,afcb736379df433a87f2bf95b29f5693.jpg
775,deepfake,,16989afe95fb479f96c08be9c6317f6b.jpg,f0ea7bb369914e40839c185fe0771b1a.jpg
776,deepfake,,ea84e7ca5b1c45f19c7d5921d643d0d6.jpg,8616a770c0344f9289cc5f1b3ed4fe98.jpg
777,deepfake,,86d43de3dd2c4416894ac5542723265b.jpg,a6934cf4ca23492d8e93da3ab92d886a.jpg
778,deepfake,,9a7a4ef475094366889906eddee45736.jpg,1d1b41db0ab049f9bcf3456e798e0f88.jpg
779,deepfake,,5a521bd512384c3f8aa021982570fd84.jpg,edfa232bb464499bbefd59a4b4965214.jpg
780,deepfake,,aa81354939584d7292ad93f9aac7be24.jpg,cb9758e283de49fc9e71e95fb2cc2367.jpg
781,deepfake,,7a470f244bd84069b096e744f2e710f9.jpg,a5c06f828ee1441592a18cedefe839cd.jpg
782,deepfake,,09f2ee6dd43c40f9acac351270d715e5.jpg,bda394ce54054d97a3e28d8c74c1e9ec.jpg
783,deepfake,,6f8a40ae76f445028c41259be4f4c2ea.jpg,9742545d644b493a8ba290020b1996c8.jpg
784,deepfake,,1abc14125a0d4be9a22bdd944c089c66.jpg,bbdf179d09e4474fa417cdc98f3de16c.jpg
785,deepfake,,b5b069ac4caa4e50b1388f00d71d8045.jpg,503674ec3d704511a7a51e896d8f9fce.jpg
786,deepfake,,bf8db3a247b342f0ab844271a6136d04.jpg,df7a82590da64a9f8eebf7fa5067fbb8.jpg
787,deepfake,,c2201642f92943a0b45ca3b80a3bc678.jpg,206d96b4691b4017acc5231c65605e85.jpg
788,deepfake,,58647d2b499f40bba10e900ef7c6b9d6.jpg,a7ce1f9167ee4285bc4775c9891f86c0.jpg
789,deepfake,,84c9503ecf0a4b97bf11429ab558494b.jpg,94b8b8553f1a449c9c1aa30106992381.jpg
790,deepfake,,a81c0349d3ec43e3bd630646b920780c.jpg,cf5556b2f39e4d048d2f8d29d8d8f7ea.jpg
791,deepfake,,08278c7f2ddc48018b715f53fbf4b4d5.jpg,071782fc35624050a11a20f697446ede.jpg
792,deepfake,,61c3230188934f988671da35929d1a0f.jpg,1dae42ad11154e7e852818fb35d4430a.jpg
793,deepfake,,e07c44bca449434e80db471932e8a555.jpg,48baecd85d8a408c91a5e5f606227ff0.jpg
794,deepfake,,f9d56ca32af8459fac858218276ddb0a.jpg,65d06a84bf004755b2369f228b0c48a1.jpg
795,deepfake,,cbf1a3580b134b9c8944d673ba7cc569.jpg,02e5d083021748cc87cd03cca8506a78.jpg
796,deepfake,,9257f30f64264cec9e5115b903ba93ac.jpg,04cb00e95bf44cd7aa9d411eb5891995.jpg
797,deepfake,,979c7960722d4f8db4135c759fa35539.jpg,95ace909f10b455cab022f818b330b7c.jpg
798,deepfake,,f18263d2f6694bbf8d48cc8402c12aab.jpg,19383dc2c7394988826ffe7a0d21e83a.jpg
799,deepfake,,ee90bf4eeb534288b7bdc6d3a0c41268.jpg,d7c925dd65714f32928a88a0f536cdda.jpg
800,deepfake,,9049bbb4b2414f3cbcc01e98df17d31b.jpg,d865ff876d1a4c8a9ca8eb9e724e40fb.jpg
801,deepfake,,79503ab36c35425abc32a54c98b8e38b.jpg,950565031ed8499f86dec1ac80c2a24c.jpg
802,deepfake,,1fce99871c53412c8f6f026d81e3675e.jpg,d84f71cd1c50488f8b1497cda68a66bb.jpg
803,deepfake,,377562c2112d4c74915e170d677fb6be.jpg,9b0257f72a584ea895902b54a9f22d02.jpg
804,deepfake,,553815d89db14e8aa4228a9cd3da6216.jpg,27a2d046c2e747679a7e27f055d85f82.jpg
805,deepfake,,2c5dfbc0f1c54821815492cc365070bf.jpg,01efe63ea9e14e0ebb48e36b040abe01.jpg
806,deepfake,,f87f503adddf4373ba4a6dc1709de8cc.jpg,8ae4563becee47bdb076afa447ebca54.jpg
807,deepfake,,31cdaae29299449896e302653901c62d.jpg,39e2ad92bec0496d9cdf698881a00b3b.jpg
808,deepfake,,b359ac37fa914214bfcedbb244dab4d7.jpg,a9eb8bb6e1e842bf8d662be6f8b22708.jpg
809,deepfake,,9e7b1e11dc924fe68ae6a8dbc0b43c65.jpg,10b8290567ef40f5b61f2b49c07f7c2b.jpg
810,deepfake,,f9181a1e8644487496200264952aa79a.jpg,8cc2f0905dcb4d8ba7c236a623425600.jpg
811,deepfake,,b20eb611389141eb91cb5ceed67c67a5.jpg,c9d8990fe6654fd1935ad1e3b1a1870d.jpg
812,deepfake,,fa818c39d08a463e966f903c34155004.jpg,395725b379e54481bf31361a5156735c.jpg
813,deepfake,,2fc7ab8f6eb947ad87a3e66339c1143b.jpg,a5173000cece41f0accdefcd40e6f493.jpg
814,deepfake,,0fab4555c2e74288a1c81bdfe7205193.jpg,d0815af8f2304e2c87da99aa6b85ef65.jpg
815,deepfake,,2cec946fd5184537a46122b7a995f2dd.jpg,4edd044e6d134444a5eb868fe2138284.jpg
816,deepfake,,c19af55f6dd74ad8a81c31c53a933164.jpg,75e88c8287b4410681e7f4207e2898b8.jpg
817,deepfake,,34de2c4fd9094d7bb10e27ca6d7e3310.jpg,09e180698f9a486a917194ea8a418f53.jpg
818,deepfake,,b52726ee0c0d40d7af3392e1ac79d6d3.jpg,c56a51bd47ca4769a838d180ad3857e1.jpg
819,deepfake,,ad5bb8c80c0244dd801e17629e0c79e3.jpg,7b7912f1b6494ec29c127fde8b24881d.jpg
820,deepfake,,854e4ca9613848848997913bad1b7cc0.jpg,1614c88cad18437c97d1a8de223a6913.jpg
821,deepfake,,e3dbca4b25b247cabd59890ccc617037.jpg,91d428d451f1459898d355bc22cff24a.jpg
822,deepfake,,cd3f22b0ed2646a3a446d0e55b3c95f9.jpg,88b429cf0a1e4c419d52e1d0f87035f7.jpg
823,deepfake,,9609d23f016242ceb9d4b1c4b01eb2eb.jpg,a90b1c4c8067451c871a75429ff9f4d0.jpg
824,deepfake,,da9f65a97a684bac8254a0224bf2f8ae.jpg,c7033c7af43142739d9806577c0576ea.jpg
825,deepfake,,3d1f4e0623f640b3820d29dfc45193c4.jpg,d143a31dc3134c609d7e232a7ea728e3.jpg
826,deepfake,,c4a420b836c54731bb3fab16b296a08a.jpg,e73a8e0ac8fb47c295a48dfee620045c.jpg
827,deepfake,,4b18e6ee43fe45d8ac09afb2c17ed0b0.jpg,eb41d33a2c184295af69f3ca0a364649.jpg
828,deepfake,,887e874f78224789bf3f70f19c254d91.jpg,cbebb5e031f54a75a59dd17cbc089527.jpg
829,deepfake,,849836b285ad4444bb2a35a6a7dfdc8d.jpg,fb463f81a9524ffea06e56fdc157b1a2.jpg
830,deepfake,,7929a764ac9d4b7eb9a345673b611fd0.jpg,690dd1329e4c4b46a3773385f20e0b1f.jpg
831,deepfake,,907225bd98944e42a015f27f6547aa3f.jpg,1e4d7bf02cc440718bf368977508dcaa.jpg
832,deepfake,,a056813e11fa48bab2ebc0d0606c8765.jpg,13569a11b9904516a0d2848881fd0efa.jpg
833,deepfake,,b227d1a8fdaa43e8aa62ba6c98c546ea.jpg,0a27fe773ba941c2a8a0875cfb0ae983.jpg
834,deepfake,,ed0a07782bc249f791e57550becc8139.jpg,dd019edd89494bc2a6188ad99f2ef3cf.jpg
835,deepfake,,97a83562608e47ebb88970965998b977.jpg,68cb754ee9004a72982376ee9073249d.jpg
836,deepfake,,bbd5336c97554430ba64c802f5f52b9e.jpg,3e8dcbc2501244de804461d435c971f1.jpg
837,deepfake,,cba4278e05bd4cce9f43e33f0025c706.jpg,5115c3480e1a43cfaab0728649fd2144.jpg
838,deepfake,,024ba58d7fcf46f1a4af2a4196e613c1.jpg,1d19fe11f4ab4535ab2983aaf1d1c5df.jpg
839,deepfake,,93b47b3de40e4916b69beeff10759653.jpg,3b6578fe042846059dc88e83a3a91e89.jpg
840,deepfake,,eee97e94393b4180964afe2e3cf5d058.jpg,4d7f88f7ebeb46cf9dc5216d69462fdf.jpg
841,deepfake,,e1cd2580803d48dc8d041a2690f3ee5d.jpg,d23b25675a5e45499301e05e8cc644fe.jpg
842,deepfake,,3e4804e9dd3441f68ce7ecfa7e64f372.jpg,5f08e0f960114d468a77fcf8d25c03e0.jpg
843,deepfake,,2d655b78c5484b9d85b251829e4003b7.jpg,68ac3c842f97415d81b1ee3b9a5d131c.jpg
844,deepfake,,ce380e0f68bb42beaa1fc348dbda3843.jpg,a6861306ff0d45f4963c7403045028ea.jpg
845,deepfake,,d1885842155f44eb80efe056a232a7ea.jpg,6da3f61a48d5491fafcc54b76d4f56d7.jpg
846,deepfake,,9b99781c62794f2db3c04408c3810de5.jpg,385b793df3684804b75baeb44a801162.jpg
847,deepfake,,969aa41c8ff645c0b9c267af12fd064c.jpg,4b954df447694e49b07caa27da45abd1.jpg
848,deepfake,,c2eac87147734591ab71d84cca9a3d10.jpg,7a93492a263442c2bd931feb2464fe76.jpg
849,deepfake,,34f827c7a5ca48de8b0b909a55801bb5.jpg,6c53b42c67494e87b79ca22107176b45.jpg
850,deepfake,,c7ecb00636494e9a98d5c591ebae9d09.jpg,45b9801b2fde46c190e184d9a2aeda2f.jpg
851,deepfake,,fa3aea63dedb474fa44dd987bd08b3d8.jpg,d06b0d605ba140398f567865b0bd87f1.jpg
852,deepfake,,dae5b204d87143dca082285090d9f262.jpg,a1848e47d7ea442283ed13035697615e.jpg
853,deepfake,,7ed3fafc915c4ac092e7aac934fa0c16.jpg,d72c6b58e3fd4463b6bb76ba5cc4ae95.jpg
854,deepfake,,628a3269fdc24fca9458a822341d9e14.jpg,36855ee53cd54a5189ac3a98d543e8a6.jpg
855,deepfake,,2d8de3a7160d4eb090f4d7f0d8e48865.jpg,8675a13e463d4065b1d03116c942151a.jpg
